[2026-02-12 01:00:55.548] WARN  main com.baomidou.mybatisplus.core.injector.methods.Update - [com.igreen.domain.mapper.GroupMapper.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
[2026-02-12 01:00:55.565] WARN  main com.baomidou.mybatisplus.core.injector.methods.SelectList - [com.igreen.domain.mapper.GroupMapper.selectList] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.SelectList]
[2026-02-12 01:00:55.566] WARN  main com.baomidou.mybatisplus.core.injector.methods.DeleteById - [com.igreen.domain.mapper.GroupMapper.deleteById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.DeleteById]
[2026-02-12 01:00:55.574] WARN  main com.baomidou.mybatisplus.core.injector.methods.SelectById - [com.igreen.domain.mapper.GroupMapper.selectById] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.SelectById]
[2026-02-12 01:00:56.931] INFO  main org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
[2026-02-12 01:00:57.019] INFO  main org.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
[2026-02-12 01:00:57.523] INFO  main o.s.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
[2026-02-12 01:00:57.584] INFO  main com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2026-02-12 01:00:58.248] INFO  main com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@22e95960
[2026-02-12 01:00:58.252] INFO  main com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2026-02-12 01:00:58.465] WARN  main org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
[2026-02-12 01:00:59.364] INFO  main o.h.e.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
[2026-02-12 01:00:59.380] INFO  main o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2026-02-12 01:01:00.765] WARN  main o.s.b.a.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2026-02-12 01:01:03.516] INFO  main o.s.boot.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
[2026-02-12 01:01:03.757] INFO  main org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3b863b4, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2524f9bf, com.igreen.common.config.SecurityConfig$1@7e2c8622, org.springframework.security.web.context.SecurityContextHolderFilter@2e5ff1d4, org.springframework.security.web.header.HeaderWriterFilter@33a39d7e, org.springframework.web.filter.CorsFilter@4b02dc4e, org.springframework.security.web.authentication.logout.LogoutFilter@18f1631c, com.igreen.common.config.RateLimitFilter@3f6f9cef, com.igreen.common.utils.JwtAuthenticationFilter@507f47f9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5220e6ff, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6c89c92e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@b67b359, org.springframework.security.web.session.SessionManagementFilter@374712f8, org.springframework.security.web.access.ExceptionTranslationFilter@50ad5625, org.springframework.security.web.access.intercept.AuthorizationFilter@18a349cb]
[2026-02-12 01:01:06.519] INFO  main org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2026-02-12 01:01:06.558] INFO  main o.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
[2026-02-12 01:01:06.704] INFO  main com.igreen.IGreenApplication - Started IGreenApplication in 20.671 seconds (process running for 21.955)
[2026-02-12 01:01:06.786] INFO  main com.igreen.common.config.DatabaseInitConfig - 开始初始化数据库表结构...
[2026-02-12 01:01:06.787] INFO  main com.igreen.common.config.DatabaseInitConfig - 检查并修复 sla_configs 表结构...
[2026-02-12 01:01:06.880] INFO  main com.igreen.common.config.DatabaseInitConfig - sla_configs 表结构修复完成
[2026-02-12 01:01:06.881] INFO  main com.igreen.common.config.DatabaseInitConfig - 检查并修复 site_level_configs 表结构...
[2026-02-12 01:01:06.918] INFO  main com.igreen.common.config.DatabaseInitConfig - site_level_configs 表结构修复完成
[2026-02-12 01:01:06.919] INFO  main com.igreen.common.config.DatabaseInitConfig - 数据库表结构初始化完成
[2026-02-12 01:01:55.631] INFO  http-nio-8080-exec-1 o.a.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2026-02-12 01:01:55.631] INFO  http-nio-8080-exec-1 org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[2026-02-12 01:01:55.635] INFO  http-nio-8080-exec-1 org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
[2026-02-12 01:01:56.150] WARN  http-nio-8080-exec-1 o.s.web.servlet.handler.HandlerMappingIntrospector - Cache miss for REQUEST dispatch to '/api/tickets/pending' (previous null). Performing MatchableHandlerMapping lookup. This is logged once only at WARN level, and every time at TRACE.
[2026-02-12 01:03:13.924] INFO  background-preinit org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
[2026-02-12 01:03:14.077] INFO  main com.igreen.IGreenApplication - Starting IGreenApplication v1.0.0-SNAPSHOT using Java 17.0.17 with PID 61638 (/Users/mac/workspace/iGreenProduct/igreen-backend/target/igreen-backend-1.0.0-SNAPSHOT.jar started by mac in /Users/mac/workspace/iGreenProduct/igreen-backend)
[2026-02-12 01:03:14.079] INFO  main com.igreen.IGreenApplication - The following 1 profile is active: "dev"
[2026-02-12 01:03:17.943] INFO  main o.s.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2026-02-12 01:03:18.000] INFO  main o.s.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22 ms. Found 0 JPA repository interfaces.
[2026-02-12 01:03:19.917] INFO  main o.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
[2026-02-12 01:03:19.935] INFO  main org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2026-02-12 01:03:19.942] INFO  main org.apache.catalina.core.StandardService - Starting service [Tomcat]
[2026-02-12 01:03:19.942] INFO  main org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
